Account: Account name,Campaign: Campaign name,Campaign: Campaign Id,Report: Date,Cost: Amount spend,Performance: Clicks,Cost: CPC,Clicks: CTR,Performance: Impressions,Conversions: All conversions,Conversions: Conversions,Cost: Cost per conversion,Campaign: Campaign status,Campaign: Start date,Campaign: End date,Campaign: Advertising channel type,Campaign: Tracking URL template,Campaign: Budget amount
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-15,345.761959,94,3.67831871,0.05207756,1805,4.913372,2.913372,118.6810195,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-16,364.426381,88,4.14120888,0.0501139,1756,4.622269,3.622269,100.6072108,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-12,450.644833,170,2.65085196,0.06215722,2735,6.994217,4.994217,90.23333047,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-13,463.343212,180,2.57412896,0.06644518,2709,2.013774,1.013774,457.0478351,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-14,441.399108,138,3.19854426,0.07340426,1880,0.974319,0.974319,453.0334603,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-15,505.476246,177,2.855798,0.07074341,2502,2.983106,1.983106,254.8911889,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-16,511.261392,181,2.82464857,0.06921606,2615,6,6,85.210232,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-03,441.757389,188,2.34977335,0.04946067,3801,4,1,441.757389,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-04,444.304229,174,2.55347258,0.05593057,3111,3,2,222.1521145,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-17,169.11357,91,1.85839088,0.3625498,251,18.299651,6.299651,26.84491093,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-18,161.718407,76,2.12787378,0.26480836,287,22.486888,15.486888,10.44227911,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-19,150.014611,69,2.1741248,0.26235741,263,20.775584,7.775584,19.29303458,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-20,116.148729,54,2.15090239,0.17475728,309,8.631864,5.631864,20.62349677,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-02,574.369666,286,2.00828555,0.03250369,8799,6.120166,1.120166,512.7540615,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-03,807.10045,279,2.89283315,0.02745523,10162,12.102632,7.102632,113.6339951,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-04,656.050414,295,2.22389971,0.03687961,7999,4.951315,2.951315,222.2908819,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-05,530.366467,372,1.42571631,0.03336323,11150,6.428001,6.428001,82.5087717,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-06,1012.308847,379,2.6709996,0.0231408,16378,11.710442,9.710442,104.2495127,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-07,973.60493,295,3.30035569,0.02693572,10952,13,8,121.7006163,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-08,1129.243865,1023,1.1038552,0.01481836,69036,9.024184,5.024184,224.7616459,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-09,690.429806,452,1.52749957,0.01771438,25516,2.5,0.5,1380.859612,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-10,750.776496,288,2.60686283,0.01658604,17364,2.016662,1.016662,738.4720743,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-11,649.417034,249,2.60810054,0.0177997,13989,5.142775,5.142775,126.2775513,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-12,732.836178,196,3.73896009,0.0180429,10863,2,2,366.418089,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-13,400.446906,144,2.78088129,0.02166391,6647,3,0,,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - PMax - NB,21913257998,2025-01-14,390.535103,146,2.67489797,0.03056951,4776,4.191641,3.191641,122.3618518,PAUSED,2024-11-15,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,450
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-05,473.46685,193,2.45319611,0.06350773,3039,7.551982,5.551982,85.27888779,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-06,249.547628,148,1.68613262,0.05655331,2617,3.035499,3.035499,82.20975464,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-25,92.362355,60,1.53937258,0.12024048,499,20.048363,6.048363,15.27063686,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2026-06-17,395.903747,197,2.00966369,0.0655574,3005,25.938612,2.938612,134.7247432,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,525
Evolve Med Spa,[SB] - Search - Non Brand - Jersey City,21958800712,2025-01-04,348.21,136,2.56036765,0.1038961,1309,0.025865,0.025865,13462.59424,PAUSED,2024-11-26,2037-12-30,SEARCH,,100
Evolve Med Spa,[SB] - Search - Non Brand - Jersey City,21958800712,2025-01-05,335.62,104,3.22711538,0.08260524,1259,6,6,55.93666667,PAUSED,2024-11-26,2037-12-30,SEARCH,,100
Evolve Med Spa,[SB] - Search - Non Brand - Jersey City,21958800712,2025-01-06,554.94,77,7.20701299,0.07692308,1001,1,1,554.94,PAUSED,2024-11-26,2037-12-30,SEARCH,,100
Evolve Med Spa,[SB] - Search - Non Brand - Jersey City,21958800712,2025-01-07,506.385082,87,5.82051818,0.09167545,949,3,2,253.192541,PAUSED,2024-11-26,2037-12-30,SEARCH,,100
Evolve Med Spa,[SB] - Search - Non Brand - Ridgewood,22080909484,2025-01-13,194.373195,49,3.9667999,0.07324365,669,0,0,,PAUSED,2024-12-30,2037-12-30,SEARCH,,100
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-21,91.590958,42,2.1807371,0.15555556,270,3.990883,2.990883,30.6233838,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-22,220.269959,104,2.11798038,0.26065163,399,23.88648,11.88648,18.53113445,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-23,197.561456,127,1.55560202,0.29330254,433,27.001282,13.001282,15.19553656,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-24,168.96483,114,1.48214763,0.34441088,331,27.529704,16.529704,10.22189085,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-17,93.624373,57,1.64253286,0.0738342,772,13.932686,8.932686,10.48109975,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-18,110.705557,63,1.75723106,0.07007786,899,9.496023,3.496023,31.66614093,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-20,68.322011,41,1.66639051,0.04712644,870,5,1,68.322011,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-21,140.072507,60,2.33454178,0.03141361,1910,5.907192,5.907192,23.71219811,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-22,127.141584,32,3.9731745,0.05882353,544,6.893947,0.893947,142.2249686,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - Search - Branded,21270220547,2026-06-26,150.695939,68,2.21611675,0.20923077,325,5.976427,2.976427,50.62981185,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2026-06-26,327.803346,152,2.15660096,0.06614447,2298,4.975101,3.975101,82.46415525,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,525
Evolve Med Spa,[SB] - Search - Non Brand - Red Bank,21995948593,2025-01-04,93.854533,76,1.23492807,0.08425721,902,1,1,93.854533,PAUSED,2024-12-05,2037-12-30,SEARCH,,70
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-07,341.724819,150,2.27816546,0.04930966,3042,9.536021,9.536021,35.83515798,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-08,787.054111,276,2.85164533,0.05345729,5163,5.009364,5.009364,157.1165743,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-23,111.741881,40,2.79354703,0.08510638,470,8.514148,3.514148,31.79771626,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2026-06-26,107.42558,63,1.70516794,0.10063898,626,16.13805,8.13805,13.20040796,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,125
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-09,449.40739,179,2.51065581,0.05453991,3282,11.03322,10.03322,44.79194017,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-10,502.526141,196,2.56390888,0.05847255,3352,2.160374,2.160374,232.6107151,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-11,423.364745,221,1.91567758,0.05666667,3900,7.936098,7.936098,53.34671333,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-12,466.294421,202,2.30838822,0.04609767,4382,3.037656,3.037656,153.5046829,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-13,454.317545,201,2.26028629,0.0561139,3582,7,5,90.863509,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-14,435.477322,186,2.34127592,0.05128205,3627,1.00377,1.00377,433.8417387,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-26,248.203933,69,3.59715845,0.05172414,1334,2,2,124.1019665,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-15,502.152724,179,2.80532248,0.0621312,2881,1.987419,1.987419,252.6657559,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2025-12-16,496.228362,205,2.42062616,0.05768149,3554,5.032484,4.032484,123.0577386,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-03-27,329.564053,98,3.3628985,0.08187135,1197,2.978197,2.978197,110.6589165,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-03-28,301.776675,93,3.24491048,0.07404459,1256,1.037096,1.037096,290.9823922,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-03-29,306.740778,116,2.64431705,0.07240949,1602,2.391074,0.391074,784.3548229,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,325
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-08,798.333495,162,4.92798454,0.04299363,3768,12.644544,5.644544,141.4345419,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-09,631.258242,127,4.97053734,0.04652015,2730,10.009238,4.009238,157.4509276,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-10,640.484834,151,4.24162142,0.04790609,3152,11.553857,9.553857,67.03939927,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-11,631.703131,184,3.43316919,0.05002719,3678,16.019157,3.019157,209.2316269,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-12,439.533385,111,3.95976023,0.06042461,1837,4,2,219.7666925,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-13,395.940925,111,3.56703536,0.0525071,2114,6.013355,3.013355,131.3953799,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-06-14,341.64869,101,3.3826603,0.04732896,2134,5,4,85.4121725,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
